timestamp_frame,x,y,class
657,174,552,Joystick
658,163,539,Joystick
659,178,642,Joystick
660,368,154,On mic team
661,368,154,On mic team
662,276,477,Joystick
663,226,490,Joystick
664,228,495,Joystick
665,291,520,Joystick
666,368,155,On mic team
667,1616,16,Shop
668,250,591,Joystick
669,1616,16,Shop
670,365,57,Configuration
671,210,610,Joystick
672,174,573,Joystick
673,229,378,Joystick
674,1173,427,Upgrade skill 2
675,346,363,Joystick
676,373,365,Joystick
677,747,251,
678,368,154,On mic team
679,368,154,On mic team
680,368,154,On mic team
681,701,4,
682,1077,302,
683,862,436,
684,1191,244,
685,288,525,Joystick
686,799,336,
687,718,370,
688,368,155,On mic team
689,368,59,Configuration
690,317,325,Joystick
691,1192,371,Lock enemy 3
692,183,299,Mini map
693,636,184,
694,676,212,
695,174,98,Mini map
696,683,319,
697,867,303,
698,915,185,
699,199,299,Mini map
700,189,302,Mini map
701,92,270,Mini map
702,1068,556,Upgrade skill 1
703,641,703,
704,1568,164,Retreat command
705,858,141,
706,103,251,Mini map
707,515,493,Joystick
708,55,664,
709,810,92,
710,408,318,Joystick
711,223,350,Joystick
712,426,369,Joystick
713,534,478,Joystick
714,521,455,Joystick
715,543,541,Joystick
716,368,154,On mic team
717,848,476,
718,367,155,On mic team
719,1616,16,Shop
720,199,385,Joystick
721,369,155,On mic team
722,823,210,
723,693,1,
724,693,1,
725,1616,16,Shop
726,422,386,Joystick
727,198,407,Joystick
728,272,338,Joystick
729,340,323,Joystick
730,369,324,Joystick
731,332,307,Joystick
732,331,303,Joystick
733,348,303,Joystick
734,394,314,Joystick
735,392,306,Joystick
736,1616,17,Shop
737,296,669,Joystick
738,1538,652,Basic attack
739,1543,647,Basic attack
740,882,656,Recall
741,915,344,
742,393,396,Joystick
743,1415,46,KDA
744,443,480,Joystick
745,313,660,Joystick
746,366,346,Joystick
747,305,271,Joystick
748,1496,279,Text command
749,1502,109,Attack command
750,1436,100,Attack command
751,1337,123,Cancelation
752,1039,180,
753,1581,443,
754,636,100,
755,613,588,Joystick
756,851,243,
757,1577,475,
758,1143,60,
759,356,268,Joystick
760,673,636,
761,511,219,
762,167,438,Joystick
763,333,346,Joystick
764,193,568,Joystick
765,368,154,On mic team
766,368,154,On mic team
767,368,154,On mic team
768,368,154,On mic team
769,347,324,Joystick
770,330,333,Joystick
771,705,450,
772,353,392,Joystick
773,571,454,Joystick
774,679,417,
775,588,430,
776,375,219,Pin mini map
777,713,251,
778,796,358,
779,664,218,
780,1616,17,Shop
781,368,154,On mic team
782,946,390,
783,1614,15,Shop
784,364,208,Pin mini map
785,1616,17,Shop
786,368,154,On mic team
787,1616,17,Shop
788,1616,17,Shop
789,1616,17,Shop
790,1616,17,Shop
791,1616,17,Shop
792,1616,17,Shop
793,1616,17,Shop
794,1616,17,Shop
795,1588,19,Shop
796,1616,17,Shop
797,364,55,Configuration
798,1307,453,Skill 2
799,1176,510,Skill 2
800,450,504,Joystick
801,842,685,Recall
802,607,58,Time score
803,1142,152,
804,462,238,
805,546,536,Joystick
806,404,339,Joystick
807,368,154,On mic team
808,452,347,Joystick
809,401,316,Joystick
810,445,336,Joystick
811,499,376,Joystick
812,277,313,Joystick
813,311,684,Joystick
814,308,684,Joystick
815,695,485,
816,527,566,Joystick
817,534,510,Joystick
818,368,315,Joystick
819,519,370,Joystick
820,539,374,Joystick
821,540,369,Joystick
822,543,358,Joystick
823,1599,313,Text command
824,1474,173,Retreat command
825,457,404,Joystick
826,1370,176,Cancelation
827,269,630,Joystick
828,240,524,Joystick
829,1174,386,Lock enemy 3
830,362,332,Joystick
831,341,293,Joystick
832,360,291,Joystick
833,358,332,Joystick
834,251,390,Joystick
835,239,583,Joystick
836,256,626,Joystick
837,321,400,Joystick
838,948,267,
839,928,345,Upgrade skill 1
840,1045,376,
841,1616,16,Shop
842,1616,16,Shop
843,987,346,
844,1293,446,Skill 2
845,361,133,On mic global
846,1337,504,Skill 2
847,1261,441,Skill 2
848,227,241,Mini map
849,158,232,Mini map
850,134,270,Mini map
851,1004,593,Spell (Battle Spell)
852,486,492,Joystick
853,901,343,
854,454,368,Joystick
855,147,604,Joystick
856,495,387,Joystick
857,496,388,Joystick
858,488,376,Joystick
859,492,368,Joystick
860,504,379,Joystick
861,511,385,Joystick
862,427,321,Joystick
863,1494,171,Retreat command
864,1234,555,Skill 2
865,408,434,Joystick
866,197,672,Joystick
867,924,458,
868,1564,504,
869,1086,705,Spell (Battle Spell)
870,450,318,Joystick
871,617,244,
872,300,526,Joystick
873,294,331,Joystick
874,367,153,On mic team
875,368,154,On mic team
876,368,154,On mic team
877,363,206,Pin mini map
878,548,216,
879,649,254,
880,630,262,
881,640,267,
